-0.274,-0.331
-0.238,-0.223 
-0.243,-0.129 
-0.413,-0.124 
-0.469,-0.065 
-0.490,-0.148 
-0.174,-0.304 
-0.149,-0.213 
-0.139,-0.083 
-0.156,-0.026 
-0.230,0.027 
-0.257,-0.067 
0.028,-0.236 
0.014,-0.173 
-0.040,-0.101 
-0.087,-0.034 
-0.105,0.047 
-0.151,-0.055 
0.078,-0.231 
0.050,-0.153 
-0.024,-0.107 
-0.083,-0.081 
-0.097,0.032
-0.132,-0.068 
0.153,-0.229 
0.123,-0.193 
0.189,-0.041 
0.104,-0.006 
0.077,0.082 
0.078,0.014 
0.099,-0.219 
0.093,-0.126 
0.084,-0.024 
0.035,0.011 
-0.011,0.086 
0.000,0.000 
